time,x,y,z
17,-14.64691,-19.60449,-31.64673
66,-15.24811,-18.38379,-32.54547
116,-14.64691,-18.38379,-33.14667
167,-14.34784,-18.56384,-31.64673
217,-15.24811,-18.73322,-31.94580
266,-14.64691,-18.90411,-31.64673
316,-15.24811,-18.38379,-31.34613
367,-16.14838,-18.38379,-31.94580
417,-16.74805,-18.04352,-31.94580
467,-16.44745,-18.56384,-30.44586
521,-17.04712,-17.17377,-29.84619
567,-16.44745,-18.21442,-29.84619
617,-17.04712,-18.56384,-30.44586
667,-15.84778,-17.86346,-29.84619
717,-16.44745,-17.17377,-29.84619
767,-15.54718,-18.38379,-31.34613
816,-15.24811,-18.04352,-30.74646
866,-14.04724,-19.25354,-31.04553
917,-13.44757,-19.08417,-30.74646
966,-13.74817,-18.38379,-31.94580
1016,-12.84790,-19.77386,-30.14526
1066,-12.54730,-18.90411,-30.44586
1117,-12.24823,-20.12329,-31.34613
1167,-12.54730,-20.63446,-31.04553
1216,-10.74829,-20.98389,-29.24652
1266,-11.94763,-20.98389,-28.64532
1317,-10.74829,-20.46356,-27.74658
1367,-10.74829,-20.46356,-28.94592
1417,-10.14709,-20.98389,-28.64532
1466,-9.54742,-20.98389,-28.64532
1519,-10.44769,-20.12329,-28.94592
1567,-10.14709,-20.29419,-29.84619
1617,-10.74829,-19.60449,-28.64532
1666,-9.54742,-21.33331,-29.84619
1716,-9.24835,-20.98389,-29.84619
1767,-8.04749,-21.15326,-30.14526
1817,-8.34808,-20.29419,-29.84619
1866,-8.04749,-20.29419,-30.44586
1916,-7.74841,-20.46356,-30.14526
1967,-8.04749,-19.77386,-30.14526
2017,-9.84802,-20.12329,-29.54559
2066,-9.84802,-20.29419,-29.24652
2116,-10.14709,-19.42444,-30.14526
2167,-11.34796,-19.42444,-29.54559
2217,-11.04736,-19.25354,-29.24652
2267,-11.64703,-19.42444,-28.94592
2316,-11.04736,-19.60449,-28.04565
2366,-10.44769,-19.42444,-27.74658
2417,-9.54742,-20.46356,-28.94592
2467,-10.44769,-20.29419,-28.04565
2521,-9.24835,-20.12329,-29.54559
2567,-8.64716,-19.94324,-29.24652
2617,-8.64716,-20.63446,-28.04565
2666,-7.74841,-20.29419,-29.24652
2716,-7.14722,-20.98389,-29.24652
2766,-7.14722,-21.33331,-30.44586
2817,-7.14722,-20.12329,-29.54559
2867,-6.84814,-20.46356,-29.54559
2916,-7.44781,-19.94324,-29.24652
2966,-7.14722,-21.67358,-29.84619
3017,-7.44781,-21.15326,-28.94592
3067,-7.14722,-21.50421,-27.14539
3116,-7.74841,-20.81451,-27.74658
3167,-8.34808,-20.81451,-28.34625
3217,-8.94775,-20.63446,-26.84631
3266,-8.94775,-20.46356,-28.94592
3316,-10.74829,-20.12329,-28.34625
3366,-11.64703,-19.77386,-28.94592
3417,-12.54730,-18.73322,-27.74658
3466,-14.34784,-19.08417,-27.14539
3520,-16.14838,-17.34314,-27.14539
3567,-16.44745,-17.52319,-25.04578
3617,-16.74805,-17.69409,-25.94604
3666,-17.04712,-17.34314,-25.34637
3716,-18.84766,-16.13312,-25.04578
3767,-18.54706,-16.30402,-24.74670
3817,-19.14825,-16.13312,-26.84631
3866,-20.04700,-15.27405,-25.94604
3917,-19.14825,-15.44342,-26.24664
3967,-19.44733,-15.09399,-25.64545
4017,-19.74792,-15.61432,-26.54572
4066,-18.24799,-15.79437,-25.64545
4117,-18.54706,-16.65344,-25.34637
4167,-17.64832,-16.82434,-25.04578
4217,-17.34772,-16.30402,-24.14551
4266,-16.44745,-16.48407,-25.04578
4316,-15.54718,-17.69409,-25.34637
4367,-12.84790,-19.08417,-24.74670
4417,-13.44757,-18.56384,-23.84644
4466,-13.74817,-18.73322,-24.74670
4521,-12.84790,-18.38379,-24.74670
4566,-14.04724,-17.69409,-26.54572
4616,-13.14697,-18.73322,-25.94604
4667,-14.04724,-17.86346,-25.04578
4716,-13.74817,-18.04352,-25.34637
4766,-14.04724,-17.86346,-25.04578
4817,-14.34784,-16.65344,-24.74670
4867,-14.94751,-16.48407,-24.44611
4916,-15.24811,-17.00439,-22.94617
4966,-15.84778,-16.30402,-24.14551
5017,-15.24811,-15.61432,-21.74530
5067,-17.04712,-14.75372,-22.64557
5116,-17.04712,-15.27405,-23.54584
5166,-16.14838,-15.79437,-23.84644
5217,-16.74805,-14.92462,-24.74670
5266,-16.44745,-15.09399,-23.24524
5316,-16.44745,-14.75372,-22.04590
5367,-15.54718,-15.27405,-24.14551
5417,-15.54718,-14.92462,-24.14551
5466,-15.24811,-15.61432,-22.94617
5516,-13.74817,-15.27405,-24.74670
5571,-15.24811,-14.23340,-23.54584
5616,-13.74817,-14.75372,-25.64545
