time,distance
17,5.00031
67,5.00031
116,5.00031
167,5.00031
217,5.00031
267,5.00031
316,5.00031
367,5.00031
417,5.00031
467,5.00031
521,5.00031
567,5.00031
617,5.00031
667,5.00031
717,5.00031
767,5.00031
816,5.00031
866,5.00031
917,5.00031
967,5.00031
1016,5.00031
1066,5.00031
1117,5.00031
1167,5.00031
1217,5.00031
1266,5.00031
1317,5.00031
1367,5.00031
1417,5.00031
1467,5.00031
1519,5.00031
1567,5.00031
1617,5.00031
1667,5.00031
1716,5.00031
1767,5.00031
1817,5.00031
1866,5.00031
1916,5.00031
1967,5.00031
2017,5.00031
2067,5.00031
2116,5.00031
2167,5.00031
2217,5.00031
2267,5.00031
2316,5.00031
2366,5.00031
2417,5.00031
2467,5.00031
2521,5.00031
2567,5.00031
2617,5.00031
2667,5.00031
2716,5.00031
2766,5.00031
2817,5.00031
2867,5.00031
2916,5.00031
2966,5.00031
3017,5.00031
3067,5.00031
3116,5.00031
3167,5.00031
3217,5.00031
3267,5.00031
3317,5.00031
3366,5.00031
3417,5.00031
3467,5.00031
3520,5.00031
3567,5.00031
3617,5.00031
3667,5.00031
3716,5.00031
3767,5.00031
3818,5.00031
3866,5.00031
3917,5.00031
3967,5.00031
4017,5.00031
4066,5.00031
4117,5.00031
4167,5.00031
4217,5.00031
4266,5.00031
4316,5.00031
4367,5.00031
4417,5.00031
4466,5.00031
4521,5.00031
4567,5.00031
4616,5.00031
4667,5.00031
4717,5.00031
4766,5.00031
4817,5.00031
4867,5.00031
4916,5.00031
4966,5.00031
5017,5.00031
5067,5.00031
5116,5.00031
5166,5.00031
5217,5.00031
5267,5.00031
5316,5.00031
5367,5.00031
5417,5.00031
5467,5.00031
5516,5.00031
5571,5.00031
5616,5.00031
