time,azimuth
14,72
63,73
112,73
162,72
213,74
263,75
313,77
363,75
413,76
464,78
513,76
563,74
613,79
664,74
717,76
763,78
813,79
863,79
913,80
963,78
1013,81
1063,81
1113,79
1162,77
1214,78
1263,78
1313,77
1363,79
1413,78
1463,77
1513,76
1564,79
1613,79
1663,40
1715,64
1763,81
1813,53
1862,85
1913,75
1963,87
2014,85
2062,85
2114,82
2163,76
2213,-55
2263,-42
2313,23
2364,78
2413,79
2463,79
2514,79
2563,80
2613,78
2663,82
2716,80
2763,78
2813,80
2862,72
2914,78
2963,78
3014,73
3063,77
3113,76
3163,73
3213,76
3262,75
3314,77
3362,77
3413,73
3464,74
3513,77
3563,75
3613,72
3664,73
3713,74
3767,75
