time,lx
14,6.00000
62,6.00000
112,6.00000
162,6.00000
212,6.00000
263,6.00000
313,6.00000
363,6.00000
413,7.00000
464,7.00000
513,7.00000
563,7.00000
613,7.00000
663,7.00000
717,7.00000
763,7.00000
813,7.00000
862,7.00000
913,7.00000
963,7.00000
1013,7.00000
1063,7.00000
1113,7.00000
1162,8.00000
1214,8.00000
1263,8.00000
1313,10.00000
1363,10.00000
1413,10.00000
1463,11.00000
1513,11.00000
1564,13.00000
1613,13.00000
1663,13.00000
1715,18.00000
1763,18.00000
1812,22.00000
1862,22.00000
1913,22.00000
1963,31.00000
2014,31.00000
2062,36.00000
2114,36.00000
2163,36.00000
2213,43.00000
2263,43.00000
2313,52.00000
2364,52.00000
2413,52.00000
2463,59.00000
2513,59.00000
2563,59.00000
2613,66.00000
2663,66.00000
2716,66.00000
2763,68.00000
2812,68.00000
2862,68.00000
2914,68.00000
2963,68.00000
3013,68.00000
3062,64.00000
3113,64.00000
3163,64.00000
3213,60.00000
3262,60.00000
3313,60.00000
3362,52.00000
3413,52.00000
3464,52.00000
3513,46.00000
3563,46.00000
3613,46.00000
3664,39.00000
3713,39.00000
3767,39.00000
