time,x,y,z
13,0.21204,-0.46278,0.07234
62,-0.13858,-0.06329,0.05278
112,0.41605,-0.23065,0.00024
163,0.08376,-0.31618,0.24338
213,0.36963,-0.00343,0.06134
263,-0.16423,0.03810,0.22505
313,0.43684,-0.26122,-0.02052
363,0.60054,-0.12682,-0.13901
412,-0.04329,0.12729,-0.07060
463,0.22060,-0.87451,-0.22575
516,-2.11900,0.27145,0.11632
562,-1.02556,0.59520,0.20551
613,-0.64804,0.08330,-0.46399
663,2.64937,-0.08528,-0.39557
713,2.68481,0.22868,-0.13657
763,2.02263,-0.02785,-0.25507
813,0.57977,-0.33084,-0.25018
863,-0.78610,-0.43834,-0.07793
913,-2.40244,0.12851,0.12488
963,-3.19290,0.61842,0.24704
1013,-1.67062,-0.48479,-0.15123
1063,0.29022,0.20180,0.11143
1112,1.64145,0.50359,0.25558
1162,2.61028,0.39607,-0.06328
1212,2.49910,-0.64726,-0.09624
1262,0.56267,-0.11826,-0.14145
1313,-0.85452,0.66606,0.06622
1363,-1.54236,-0.01196,0.21039
1413,-1.74272,-0.71080,-0.00586
1463,-1.65718,0.01732,-0.02296
1517,-0.51732,0.36186,0.19083
1563,1.95177,-0.15858,-0.00952
1613,1.77829,-0.19156,-0.16100
1663,0.95605,-0.08528,-0.31860
1713,-0.57108,-0.18912,-0.12312
1763,-2.41344,0.12485,0.13829
1813,-2.25829,-0.01076,0.20306
1863,-1.92720,0.08698,0.26537
1913,-0.10559,-0.01808,0.12364
1963,1.76973,0.23480,0.10408
2013,1.80272,0.33253,-0.04739
2063,1.43741,0.04788,-0.15001
2113,0.52846,0.21159,-0.02541
2163,-0.77998,0.26289,0.17986
2213,-1.63031,0.22504,0.38875
2263,-1.43729,-0.02541,0.16153
2313,-0.41103,-0.03641,0.17374
2363,1.75018,-0.14514,0.13464
2413,1.82837,-0.18791,-0.02663
2463,0.82045,0.27878,-0.30760
2516,-0.11293,0.29588,-0.24286
2562,-0.84474,-0.15858,0.13341
2612,-1.99318,-0.46278,0.10532
2663,-1.16362,0.13461,0.17250
2713,1.04036,0.26413,-0.01442
2763,1.37755,-0.10361,-0.12436
2813,0.70439,-0.02664,-0.19154
2863,0.10330,-0.21233,-0.25262
2913,-1.37863,0.06009,-0.00220
2963,-1.89299,-0.06085,-0.00342
3012,-0.61261,0.00635,0.09676
3062,0.26578,0.17126,-0.04495
3114,1.89555,-0.03885,-0.22086
3164,1.77829,-0.21844,-0.38091
3213,0.72884,-0.07428,-0.59227
3263,-0.80565,0.34720,-0.31737
3313,-1.89055,0.18103,-0.05472
3363,-1.41408,-0.50800,0.07355
3413,-0.46234,0.60742,0.08821
3462,0.62741,0.39607,0.05522
3516,1.65001,0.34842,0.48405
3562,1.32381,-0.30275,0.40707
3613,0.58955,-0.09993,0.29347
3663,-1.45073,0.23724,0.38631
3713,-0.94858,-0.02296,0.28735
3763,-0.30840,-0.41757,0.27513
3813,1.08191,-0.47011,-0.05960
3863,1.19919,-0.42247,-0.19765
3913,0.55411,-0.25021,-0.18544
3963,-0.42201,-0.42001,0.00146
4013,-0.51732,0.65262,0.03690
4063,-0.59550,0.30811,0.00636
4113,-0.26686,0.22136,-0.06940
4163,0.14850,-0.26730,-0.10603
4213,0.28290,-0.07184,0.04546
4263,0.24869,-0.20624,-0.09869
4313,-0.28154,0.06865,0.05766
4363,0.35498,-0.37727,-0.17810
4413,-0.06650,0.13583,-0.38824
4463,-0.23145,0.14317,-0.06696
4515,-0.82520,0.18839,0.18230
4562,-1.02924,0.18347,0.38022
4613,-0.15202,-0.67291,-0.00586
4663,1.74284,-0.32596,-0.04007
4713,1.34824,0.10408,-0.13290
4763,0.56145,0.12607,-0.01930
4813,-1.86855,0.77969,0.17496
4863,-1.04510,-0.03763,0.24948
4913,-1.13185,0.36063,0.33621
4963,1.43988,0.30322,0.42175
5013,1.49606,-0.18423,0.22139
5063,0.42216,0.13095,0.17741
5113,-0.27054,-0.35771,-0.20987
5163,-1.77937,0.03810,0.21405
5213,-0.93637,0.02467,0.36066
5263,-0.04085,0.03932,0.00636
5313,0.55411,-0.03029,0.03934
5362,0.54068,0.30933,-0.06816
5412,1.37999,-0.14514,-0.24774
5462,0.97073,-0.31984,-0.25018
5515,-0.03352,-0.60695,-0.39069
5563,-2.47086,0.49991,0.02835
5613,-1.06465,0.29710,-0.16711
5663,0.85954,0.17615,-0.26483
5713,2.07150,-0.37115,-0.18176
5763,1.38979,-0.28809,-0.36137
5813,0.35254,-0.09749,-0.25386
5863,-1.08786,0.02344,0.06989
5913,-1.84290,0.37531,0.12852
5963,-0.09216,0.24701,0.04057
6013,0.11307,0.87375,0.11388
6063,0.38063,-0.03397,0.01613
6113,-0.17523,0.09430,0.18474
